material_id,plant_id,expected_status,usable_qty_reference
MAT-00001,PLT-DE-02,Healthy,384
MAT-00002,PLT-IN-03,Safety Stock Warning,212
MAT-00002,PLT-US-01,Healthy,157
MAT-00003,PLT-DE-02,Healthy,214
MAT-00003,PLT-IN-03,Safety Stock Warning,131
MAT-00003,PLT-US-01,Healthy,113
MAT-00004,PLT-US-01,Near Reorder,381
MAT-00005,PLT-DE-02,Healthy,400
MAT-00006,PLT-DE-02,Near Reorder,56
MAT-00007,PLT-US-01,Healthy,329
MAT-00008,PLT-IN-03,Healthy,708
MAT-00009,PLT-DE-02,Safety Stock Warning,981
MAT-00009,PLT-US-01,Healthy,811
MAT-00010,PLT-US-01,Safety Stock Warning,184
MAT-00011,PLT-DE-02,Excess,2131
MAT-00011,PLT-IN-03,Near Reorder,963
MAT-00011,PLT-US-01,Healthy,996
MAT-00012,PLT-IN-03,Shortage,0
MAT-00012,PLT-US-01,Healthy,381
MAT-00013,PLT-DE-02,Near Reorder,307
MAT-00014,PLT-DE-02,Near Reorder,1839
MAT-00014,PLT-IN-03,Safety Stock Warning,426
MAT-00015,PLT-DE-02,Healthy,709
MAT-00016,PLT-DE-02,Near Reorder,286
MAT-00016,PLT-IN-03,Safety Stock Warning,156
MAT-00017,PLT-IN-03,Near Reorder,916
MAT-00017,PLT-US-01,Healthy,940
MAT-00018,PLT-IN-03,Healthy,198
MAT-00019,PLT-IN-03,Near Reorder,159
MAT-00019,PLT-US-01,Safety Stock Warning,278
MAT-00020,PLT-DE-02,Healthy,1284
MAT-00021,PLT-DE-02,Healthy,330
MAT-00021,PLT-IN-03,Near Reorder,341
MAT-00022,PLT-DE-02,Healthy,72
MAT-00022,PLT-US-01,Healthy,97
MAT-00023,PLT-DE-02,Near Reorder,821
MAT-00023,PLT-IN-03,Healthy,1005
MAT-00024,PLT-IN-03,Excess,1725
MAT-00024,PLT-US-01,Healthy,468
MAT-00025,PLT-DE-02,Healthy,1451
MAT-00025,PLT-US-01,Healthy,2706
MAT-00026,PLT-DE-02,Excess,376
MAT-00026,PLT-US-01,Shortage,0
MAT-00027,PLT-DE-02,Healthy,471
MAT-00027,PLT-IN-03,Healthy,200
MAT-00027,PLT-US-01,Safety Stock Warning,190
MAT-00028,PLT-IN-03,Healthy,243
MAT-00029,PLT-DE-02,Safety Stock Warning,983
MAT-00029,PLT-IN-03,Near Reorder,671
MAT-00029,PLT-US-01,Healthy,2316
MAT-00030,PLT-IN-03,Healthy,225
MAT-00031,PLT-DE-02,Healthy,117
MAT-00031,PLT-US-01,Safety Stock Warning,142
MAT-00032,PLT-DE-02,Healthy,1348
MAT-00033,PLT-IN-03,Near Reorder,494
MAT-00033,PLT-US-01,Healthy,397
MAT-00034,PLT-DE-02,Healthy,337
MAT-00034,PLT-US-01,Healthy,828
MAT-00035,PLT-DE-02,Excess,1825
MAT-00035,PLT-IN-03,Healthy,1924
MAT-00035,PLT-US-01,Healthy,995
