material_id,plant_id,warehouse_id,unrestricted_qty,quality_hold_qty,blocked_qty,reserved_qty,snapshot_date
MAT-00001,PLT-DE-02,WH-04,426,19,6,42,2026-07-16
MAT-00002,PLT-IN-03,WH-07,221,4,2,9,2026-07-21
MAT-00002,PLT-US-01,WH-01,176,6,5,19,2026-07-16
MAT-00003,PLT-DE-02,WH-04,239,2,6,25,2026-07-16
MAT-00003,PLT-IN-03,WH-07,142,2,0,11,2026-07-21
MAT-00003,PLT-US-01,WH-01,123,0,3,10,2026-07-16
MAT-00004,PLT-US-01,WH-01,432,13,11,51,2026-07-16
MAT-00005,PLT-DE-02,WH-04,424,25,3,24,2026-07-16
MAT-00006,PLT-DE-02,WH-04,63,4,1,7,2026-07-16
MAT-00007,PLT-US-01,WH-01,353,16,4,24,2026-07-16
MAT-00008,PLT-IN-03,WH-07,816,36,19,108,2026-07-16
MAT-00009,PLT-DE-02,WH-04,985,25,19,4,2026-07-21
MAT-00009,PLT-US-01,WH-01,848,16,9,37,2026-07-16
MAT-00010,PLT-US-01,WH-01,240,7,3,56,2026-07-16
MAT-00011,PLT-DE-02,WH-04,2249,27,26,118,2026-07-21
MAT-00011,PLT-IN-03,WH-07,974,8,10,11,2026-07-21
MAT-00011,PLT-US-01,WH-01,1093,43,26,97,2026-07-16
MAT-00012,PLT-IN-03,WH-07,11,1,0,11,2026-07-16
MAT-00012,PLT-US-01,WH-01,389,1,1,8,2026-07-21
MAT-00013,PLT-DE-02,WH-04,349,8,3,42,2026-07-16
MAT-00014,PLT-DE-02,WH-04,1917,9,19,78,2026-07-21
MAT-00014,PLT-IN-03,WH-07,651,12,1,225,2026-07-16
MAT-00015,PLT-DE-02,WH-04,791,9,9,82,2026-07-16
MAT-00016,PLT-DE-02,WH-04,310,10,6,24,2026-07-16
MAT-00016,PLT-IN-03,WH-07,231,3,2,75,2026-07-16
MAT-00017,PLT-IN-03,WH-07,1083,33,1,167,2026-07-16
MAT-00017,PLT-US-01,WH-01,986,46,4,46,2026-07-16
