transaction_id,material_id,plant_id,warehouse_id,transaction_type,quantity,transaction_date,reference_doc
TXN-003200,MAT-00049,PLT-US-01,WH-01,Goods Issue,-274,2026-04-18,PO-PROD-00191
TXN-001401,MAT-00428,PLT-IN-03,WH-07,Goods Receipt,174,2026-04-18,PO-00095
TXN-002865,MAT-00322,PLT-DE-02,WH-04,Goods Issue,-272,2026-04-18,PO-PROD-00134
TXN-001390,MAT-00281,PLT-IN-03,WH-07,Goods Receipt,160,2026-04-18,PO-00153
TXN-000086,MAT-00449,PLT-IN-03,WH-07,Goods Issue,-49,2026-04-18,PO-PROD-00095
TXN-001379,MAT-00382,PLT-US-01,WH-01,Goods Issue,-266,2026-04-18,PO-PROD-00196
TXN-002648,MAT-00384,PLT-IN-03,WH-07,Transfer,178,2026-04-18,PO-PROD-00184
TXN-002282,MAT-00464,PLT-IN-03,WH-07,Goods Receipt,109,2026-04-18,PO-00019
TXN-000073,MAT-00022,PLT-DE-02,WH-04,Goods Receipt,68,2026-04-18,PO-00104
TXN-002643,MAT-00201,PLT-IN-03,WH-07,Goods Issue,-48,2026-04-18,PO-PROD-00103
TXN-002368,MAT-00192,PLT-US-01,WH-01,Adjustment,190,2026-04-18,PO-PROD-00131
TXN-000378,MAT-00010,PLT-US-01,WH-01,Goods Issue,-103,2026-04-18,PO-PROD-00157
TXN-002930,MAT-00005,PLT-DE-02,WH-04,Goods Issue,-278,2026-04-18,PO-PROD-00094
TXN-001027,MAT-00388,PLT-US-01,WH-01,Goods Receipt,191,2026-04-18,PO-00091
TXN-002426,MAT-00376,PLT-IN-03,WH-07,Goods Receipt,266,2026-04-18,PO-00065
TXN-001167,MAT-00189,PLT-US-01,WH-01,Goods Receipt,297,2026-04-18,PO-00117
TXN-002276,MAT-00013,PLT-DE-02,WH-04,Adjustment,27,2026-04-18,PO-PROD-00206
TXN-001430,MAT-00477,PLT-US-01,WH-01,Goods Receipt,163,2026-04-18,PO-00104
TXN-002846,MAT-00205,PLT-US-01,WH-01,Goods Issue,-127,2026-04-18,PO-PROD-00133
TXN-002728,MAT-00440,PLT-DE-02,WH-04,Goods Issue,-84,2026-04-18,PO-PROD-00167
TXN-002729,MAT-00142,PLT-US-01,WH-01,Goods Receipt,41,2026-04-18,PO-00001
TXN-002004,MAT-00269,PLT-US-01,WH-01,Adjustment,23,2026-04-18,PO-PROD-00037
TXN-002734,MAT-00497,PLT-IN-03,WH-07,Goods Issue,-134,2026-04-18,PO-PROD-00122
TXN-002047,MAT-00148,PLT-US-01,WH-01,Adjustment,88,2026-04-18,PO-PROD-00132
TXN-001780,MAT-00036,PLT-US-01,WH-01,Goods Issue,-107,2026-04-18,PO-PROD-00036
TXN-000219,MAT-00119,PLT-IN-03,WH-07,Adjustment,121,2026-04-18,PO-PROD-00173
TXN-002766,MAT-00088,PLT-DE-02,WH-04,Transfer,292,2026-04-18,PO-PROD-00151
TXN-001726,MAT-00430,PLT-US-01,WH-01,Goods Receipt,56,2026-04-18,PO-00101
TXN-000232,MAT-00298,PLT-DE-02,WH-04,Goods Receipt,282,2026-04-18,PO-00083
TXN-001721,MAT-00347,PLT-US-01,WH-01,Goods Receipt,52,2026-04-18,PO-00068
TXN-001684,MAT-00008,PLT-IN-03,WH-07,Goods Receipt,290,2026-04-18,PO-00040
TXN-000246,MAT-00281,PLT-IN-03,WH-07,Goods Receipt,175,2026-04-18,PO-00021
TXN-001580,MAT-00463,PLT-US-01,WH-01,Adjustment,23,2026-04-18,PO-PROD-00005
TXN-002829,MAT-00177,PLT-IN-03,WH-07,Goods Receipt,246,2026-04-18,PO-00117
TXN-002962,MAT-00112,PLT-IN-03,WH-07,Goods Issue,-180,2026-04-18,PO-PROD-00154
TXN-000878,MAT-00171,PLT-US-01,WH-01,Goods Issue,-239,2026-04-18,PO-PROD-00042
TXN-000172,MAT-00388,PLT-US-01,WH-01,Goods Receipt,227,2026-04-18,PO-00028
TXN-003053,MAT-00359,PLT-IN-03,WH-07,Goods Receipt,268,2026-04-18,PO-00019
TXN-002552,MAT-00013,PLT-DE-02,WH-04,Goods Receipt,194,2026-04-18,PO-00147
TXN-000640,MAT-00106,PLT-DE-02,WH-04,Goods Receipt,75,2026-04-18,PO-00129
TXN-000679,MAT-00271,PLT-US-01,WH-01,Goods Receipt,26,2026-04-18,PO-00090
TXN-002564,MAT-00118,PLT-US-01,WH-01,Goods Issue,-290,2026-04-18,PO-PROD-00001
TXN-000028,MAT-00277,PLT-DE-02,WH-04,Transfer,130,2026-04-18,PO-PROD-00173
TXN-002936,MAT-00129,PLT-US-01,WH-01,Goods Issue,-30,2026-04-19,PO-PROD-00084
TXN-000243,MAT-00485,PLT-IN-03,WH-07,Goods Receipt,50,2026-04-19,PO-00039
TXN-001411,MAT-00318,PLT-US-01,WH-01,Goods Issue,-125,2026-04-19,PO-PROD-00128
TXN-002127,MAT-00329,PLT-IN-03,WH-07,Goods Issue,-218,2026-04-19,PO-PROD-00179
TXN-000030,MAT-00462,PLT-IN-03,WH-07,Goods Issue,-104,2026-04-19,PO-PROD-00115
TXN-000244,MAT-00192,PLT-US-01,WH-01,Transfer,75,2026-04-19,PO-PROD-00214
TXN-001705,MAT-00104,PLT-IN-03,WH-07,Goods Receipt,297,2026-04-19,PO-00103
TXN-002896,MAT-00385,PLT-DE-02,WH-04,Goods Receipt,50,2026-04-19,PO-00023
TXN-001312,MAT-00054,PLT-IN-03,WH-07,Transfer,194,2026-04-19,PO-PROD-00022
TXN-001490,MAT-00356,PLT-DE-02,WH-04,Transfer,76,2026-04-19,PO-PROD-00035
TXN-001478,MAT-00092,PLT-IN-03,WH-07,Adjustment,96,2026-04-19,PO-PROD-00092
TXN-000017,MAT-00045,PLT-DE-02,WH-04,Transfer,185,2026-04-19,PO-PROD-00159
TXN-002528,MAT-00205,PLT-US-01,WH-01,Goods Receipt,246,2026-04-19,PO-00141
TXN-002182,MAT-00280,PLT-DE-02,WH-04,Goods Receipt,220,2026-04-19,PO-00077
TXN-002191,MAT-00134,PLT-US-01,WH-01,Goods Receipt,289,2026-04-19,PO-00088
TXN-002302,MAT-00271,PLT-US-01,WH-01,Transfer,78,2026-04-19,PO-PROD-00010
TXN-002002,MAT-00460,PLT-US-01,WH-01,Goods Receipt,125,2026-04-19,PO-00080
TXN-000551,MAT-00075,PLT-IN-03,WH-07,Transfer,294,2026-04-19,PO-PROD-00124
TXN-001792,MAT-00498,PLT-IN-03,WH-07,Goods Issue,-76,2026-04-19,PO-PROD-00083
TXN-002412,MAT-00114,PLT-US-01,WH-01,Goods Issue,-140,2026-04-19,PO-PROD-00068
TXN-000861,MAT-00415,PLT-IN-03,WH-07,Goods Receipt,55,2026-04-19,PO-00117
TXN-002958,MAT-00266,PLT-US-01,WH-01,Adjustment,234,2026-04-19,PO-PROD-00048
TXN-002553,MAT-00490,PLT-DE-02,WH-04,Adjustment,286,2026-04-19,PO-PROD-00177
TXN-000983,MAT-00049,PLT-US-01,WH-01,Goods Issue,-84,2026-04-19,PO-PROD-00151
TXN-001888,MAT-00459,PLT-IN-03,WH-07,Transfer,98,2026-04-19,PO-PROD-00203
TXN-002433,MAT-00355,PLT-IN-03,WH-07,Goods Receipt,188,2026-04-19,PO-00116
TXN-001828,MAT-00106,PLT-DE-02,WH-04,Goods Issue,-63,2026-04-20,PO-PROD-00111
TXN-002546,MAT-00010,PLT-US-01,WH-01,Goods Receipt,206,2026-04-20,PO-00119
TXN-002244,MAT-00198,PLT-US-01,WH-01,Transfer,84,2026-04-20,PO-PROD-00059
TXN-002531,MAT-00140,PLT-US-01,WH-01,Goods Issue,-164,2026-04-20,PO-PROD-00130
TXN-000315,MAT-00123,PLT-US-01,WH-01,Goods Receipt,268,2026-04-20,PO-00034
TXN-001832,MAT-00442,PLT-DE-02,WH-04,Goods Receipt,100,2026-04-20,PO-00084
TXN-001516,MAT-00171,PLT-US-01,WH-01,Adjustment,176,2026-04-20,PO-PROD-00129
TXN-001785,MAT-00479,PLT-US-01,WH-01,Transfer,73,2026-04-20,PO-PROD-00201
TXN-000609,MAT-00477,PLT-US-01,WH-01,Goods Issue,-138,2026-04-20,PO-PROD-00126
TXN-000520,MAT-00334,PLT-IN-03,WH-07,Goods Issue,-244,2026-04-20,PO-PROD-00191
TXN-002188,MAT-00243,PLT-IN-03,WH-07,Goods Receipt,291,2026-04-20,PO-00053
TXN-002186,MAT-00385,PLT-DE-02,WH-04,Goods Receipt,38,2026-04-20,PO-00120
TXN-002167,MAT-00477,PLT-US-01,WH-01,Goods Issue,-255,2026-04-20,PO-PROD-00087
TXN-003063,MAT-00008,PLT-IN-03,WH-07,Goods Issue,-134,2026-04-20,PO-PROD-00045
TXN-001609,MAT-00460,PLT-DE-02,WH-04,Goods Receipt,23,2026-04-20,PO-00035
TXN-002800,MAT-00254,PLT-IN-03,WH-07,Goods Issue,-184,2026-04-20,PO-PROD-00194
TXN-002794,MAT-00092,PLT-DE-02,WH-04,Goods Issue,-82,2026-04-20,PO-PROD-00140
TXN-001755,MAT-00129,PLT-US-01,WH-01,Goods Issue,-259,2026-04-20,PO-PROD-00029
TXN-002541,MAT-00292,PLT-US-01,WH-01,Goods Issue,-224,2026-04-20,PO-PROD-00212
TXN-001752,MAT-00426,PLT-DE-02,WH-04,Transfer,264,2026-04-20,PO-PROD-00033
TXN-001545,MAT-00175,PLT-DE-02,WH-04,Goods Issue,-293,2026-04-20,PO-PROD-00102
TXN-001452,MAT-00285,PLT-IN-03,WH-07,Goods Issue,-211,2026-04-20,PO-PROD-00079
TXN-002327,MAT-00285,PLT-DE-02,WH-04,Goods Receipt,248,2026-04-20,PO-00137
TXN-000414,MAT-00308,PLT-IN-03,WH-07,Goods Issue,-32,2026-04-20,PO-PROD-00092
TXN-000771,MAT-00398,PLT-DE-02,WH-04,Goods Issue,-144,2026-04-20,PO-PROD-00065
TXN-002646,MAT-00486,PLT-IN-03,WH-07,Transfer,70,2026-04-20,PO-PROD-00133
TXN-002935,MAT-00301,PLT-US-01,WH-01,Goods Issue,-174,2026-04-20,PO-PROD-00007
TXN-000688,MAT-00201,PLT-US-01,WH-01,Goods Receipt,161,2026-04-20,PO-00045
TXN-001072,MAT-00176,PLT-US-01,WH-01,Transfer,108,2026-04-20,PO-PROD-00122
TXN-001159,MAT-00174,PLT-IN-03,WH-07,Goods Issue,-266,2026-04-20,PO-PROD-00098
TXN-000338,MAT-00488,PLT-US-01,WH-01,Goods Receipt,83,2026-04-20,PO-00085
TXN-000174,MAT-00170,PLT-IN-03,WH-07,Goods Issue,-201,2026-04-20,PO-PROD-00117
TXN-001183,MAT-00376,PLT-IN-03,WH-07,Goods Receipt,268,2026-04-20,PO-00119
TXN-002998,MAT-00440,PLT-DE-02,WH-04,Transfer,84,2026-04-20,PO-PROD-00128
TXN-002310,MAT-00193,PLT-IN-03,WH-07,Transfer,106,2026-04-20,PO-PROD-00105
TXN-002464,MAT-00018,PLT-IN-03,WH-07,Goods Receipt,49,2026-04-20,PO-00121
TXN-000022,MAT-00389,PLT-IN-03,WH-07,Goods Receipt,189,2026-04-20,PO-00097
TXN-000431,MAT-00391,PLT-DE-02,WH-04,Goods Receipt,169,2026-04-20,PO-00088
TXN-002919,MAT-00224,PLT-IN-03,WH-07,Goods Receipt,79,2026-04-21,PO-00079
TXN-002533,MAT-00222,PLT-DE-02,WH-04,Adjustment,294,2026-04-21,PO-PROD-00069
TXN-002587,MAT-00187,PLT-DE-02,WH-04,Goods Receipt,60,2026-04-21,PO-00034
TXN-000781,MAT-00415,PLT-IN-03,WH-07,Goods Receipt,219,2026-04-21,PO-00102
TXN-001116,MAT-00449,PLT-IN-03,WH-07,Goods Issue,-128,2026-04-21,PO-PROD-00164
TXN-003161,MAT-00331,PLT-US-01,WH-01,Goods Receipt,229,2026-04-21,PO-00135
TXN-001702,MAT-00403,PLT-DE-02,WH-04,Goods Issue,-282,2026-04-21,PO-PROD-00092
TXN-002939,MAT-00045,PLT-DE-02,WH-04,Goods Issue,-255,2026-04-21,PO-PROD-00153
TXN-001800,MAT-00153,PLT-IN-03,WH-07,Goods Issue,-238,2026-04-21,PO-PROD-00182
TXN-002092,MAT-00182,PLT-US-01,WH-01,Goods Receipt,286,2026-04-21,PO-00085
TXN-003058,MAT-00468,PLT-IN-03,WH-07,Goods Issue,-115,2026-04-21,PO-PROD-00218
TXN-000056,MAT-00192,PLT-DE-02,WH-04,Goods Issue,-200,2026-04-21,PO-PROD-00201
TXN-000885,MAT-00266,PLT-US-01,WH-01,Goods Receipt,184,2026-04-21,PO-00125
TXN-000206,MAT-00152,PLT-US-01,WH-01,Goods Issue,-107,2026-04-21,PO-PROD-00195
TXN-002556,MAT-00389,PLT-US-01,WH-01,Goods Issue,-36,2026-04-21,PO-PROD-00186
TXN-003000,MAT-00005,PLT-DE-02,WH-04,Goods Receipt,43,2026-04-21,PO-00131
TXN-002036,MAT-00306,PLT-US-01,WH-01,Goods Receipt,224,2026-04-21,PO-00033
TXN-000939,MAT-00092,PLT-IN-03,WH-07,Goods Receipt,289,2026-04-21,PO-00113
