bom_id,product_id,material_id,quantity_per_unit,bom_version,effective_date
BOM-00001,PROD-0001,MAT-00082,1.03,V1,2025-01-01
BOM-00002,PROD-0001,MAT-00354,1.92,V1,2025-01-01
BOM-00003,PROD-0001,MAT-00472,1.87,V1,2025-01-01
BOM-00004,PROD-0001,MAT-00211,2.18,V1,2025-01-01
BOM-00005,PROD-0001,MAT-00131,4.15,V1,2025-01-01
BOM-00006,PROD-0001,MAT-00441,8.4,V1,2025-01-01
BOM-00007,PROD-0001,MAT-00440,0.54,V1,2025-01-01
BOM-00008,PROD-0001,MAT-00404,6.43,V1,2025-01-01
BOM-00009,PROD-0001,MAT-00273,0.27,V1,2025-01-01
BOM-00010,PROD-0001,MAT-00471,0.52,V1,2025-01-01
BOM-00011,PROD-0001,MAT-00139,2.05,V1,2025-01-01
BOM-00012,PROD-0001,MAT-00140,1.87,V1,2025-01-01
BOM-00013,PROD-0001,MAT-00143,0.54,V1,2025-01-01
BOM-00014,PROD-0001,MAT-00385,0.99,V1,2025-01-01
BOM-00015,PROD-0001,MAT-00165,5.51,V1,2025-01-01
BOM-00016,PROD-0001,MAT-00282,7.47,V1,2025-01-01
BOM-00017,PROD-0001,MAT-00305,4.11,V1,2025-01-01
BOM-00018,PROD-0001,MAT-00487,2.03,V1,2025-01-01
BOM-00019,PROD-0001,MAT-00474,0.99,V1,2025-01-01
BOM-00020,PROD-0001,MAT-00252,4.38,V1,2025-01-01
BOM-00021,PROD-0001,MAT-00318,2.08,V1,2025-01-01
BOM-00022,PROD-0001,MAT-00049,2.14,V1,2025-01-01
BOM-00023,PROD-0001,MAT-00328,0.96,V1,2025-01-01
BOM-00024,PROD-0001,MAT-00293,1.84,V1,2025-01-01
BOM-00025,PROD-0001,MAT-00027,0.96,V1,2025-01-01
BOM-00026,PROD-0001,MAT-00412,0.91,V1,2025-01-01
BOM-00027,PROD-0001,MAT-00194,5.82,V1,2025-01-01
BOM-00028,PROD-0002,MAT-00234,4.2,V1,2025-01-01
BOM-00029,PROD-0002,MAT-00004,0.25,V1,2025-01-01
BOM-00030,PROD-0002,MAT-00077,0.54,V1,2025-01-01
BOM-00031,PROD-0002,MAT-00262,1.92,V1,2025-01-01
BOM-00032,PROD-0002,MAT-00238,8.35,V1,2025-01-01
BOM-00033,PROD-0002,MAT-00037,6.03,V1,2025-01-01
BOM-00034,PROD-0002,MAT-00227,0.91,V1,2025-01-01
BOM-00035,PROD-0002,MAT-00177,0.92,V1,2025-01-01
BOM-00036,PROD-0002,MAT-00397,1.99,V1,2025-01-01
BOM-00037,PROD-0002,MAT-00053,8.16,V1,2025-01-01
BOM-00038,PROD-0002,MAT-00123,0.98,V1,2025-01-01
BOM-00039,PROD-0002,MAT-00156,6.48,V1,2025-01-01
BOM-00040,PROD-0002,MAT-00142,1.05,V1,2025-01-01
BOM-00041,PROD-0002,MAT-00039,0.92,V1,2025-01-01
BOM-00042,PROD-0002,MAT-00143,0.94,V1,2025-01-01
BOM-00043,PROD-0002,MAT-00453,2.0,V1,2025-01-01
BOM-00044,PROD-0003,MAT-00231,1.01,V1,2025-01-01
BOM-00045,PROD-0003,MAT-00334,0.51,V1,2025-01-01
BOM-00046,PROD-0003,MAT-00400,0.97,V1,2025-01-01
BOM-00047,PROD-0003,MAT-00297,0.93,V1,2025-01-01
BOM-00048,PROD-0003,MAT-00274,0.27,V1,2025-01-01
BOM-00049,PROD-0003,MAT-00191,0.55,V1,2025-01-01
BOM-00050,PROD-0003,MAT-00224,2.02,V1,2025-01-01
BOM-00051,PROD-0003,MAT-00486,2.13,V1,2025-01-01
BOM-00052,PROD-0003,MAT-00318,0.27,V1,2025-01-01
BOM-00053,PROD-0003,MAT-00488,1.0,V1,2025-01-01
BOM-00054,PROD-0003,MAT-00118,5.72,V1,2025-01-01
