po_id,po_line,material_id,supplier_id,plant_id,order_qty,open_qty,unit_price,order_date,expected_receipt_date,status
PO-00001,1,MAT-00004,SUP-034,PLT-US-01,30,30,1.78,2026-07-10,2026-08-03,Open
PO-00002,1,MAT-00006,SUP-087,PLT-DE-02,150,74,3.5,2026-07-02,2026-07-18,Partially Received
PO-00003,1,MAT-00010,SUP-064,PLT-US-01,100,100,13.64,2026-06-28,2026-07-18,Open
PO-00004,1,MAT-00012,SUP-017,PLT-IN-03,500,500,2.39,2026-07-03,2026-08-04,Open
PO-00005,1,MAT-00013,SUP-006,PLT-DE-02,1,1,21.8,2026-06-26,2026-07-14,Open
PO-00006,1,MAT-00014,SUP-061,PLT-IN-03,2,2,67.48,2026-06-28,2026-07-17,Open
PO-00007,1,MAT-00016,SUP-029,PLT-DE-02,500,500,26.44,2026-06-27,2026-08-03,Open
PO-00008,1,MAT-00016,SUP-029,PLT-DE-02,1500,1500,26.44,2026-06-28,2026-08-06,Open
PO-00009,1,MAT-00017,SUP-058,PLT-IN-03,500,500,2.85,2026-07-09,2026-07-26,Open
PO-00010,1,MAT-00019,SUP-076,PLT-IN-03,2,2,3.43,2026-07-03,2026-07-20,Open
PO-00011,1,MAT-00021,SUP-022,PLT-IN-03,250,250,13.55,2026-06-20,2026-07-01,Open
PO-00012,1,MAT-00026,SUP-063,PLT-US-01,750,750,2.11,2026-06-25,2026-07-10,Late
PO-00013,1,MAT-00029,SUP-087,PLT-IN-03,200,200,18.04,2026-06-26,2026-07-15,Late
PO-00014,1,MAT-00036,SUP-010,PLT-US-01,20,7,51.89,2026-06-27,2026-07-11,Late
PO-00015,1,MAT-00037,SUP-033,PLT-US-01,500,303,16.87,2026-07-12,2026-07-19,Partially Received
PO-00016,1,MAT-00039,SUP-024,PLT-DE-02,200,200,5.97,2026-07-13,2026-08-23,Open
PO-00017,1,MAT-00051,SUP-040,PLT-US-01,100,34,1.45,2026-06-30,2026-07-31,Partially Received
PO-00018,1,MAT-00055,SUP-029,PLT-DE-02,50,21,42.16,2026-06-29,2026-07-17,Partially Received
PO-00019,1,MAT-00063,SUP-017,PLT-US-01,500,500,15.3,2026-07-06,2026-08-03,Open
PO-00020,1,MAT-00064,SUP-019,PLT-US-01,25,8,11.52,2026-07-07,2026-08-23,Partially Received
PO-00021,1,MAT-00072,SUP-085,PLT-US-01,200,83,8.72,2026-07-10,2026-07-18,Partially Received
PO-00022,1,MAT-00073,SUP-007,PLT-IN-03,1,1,6.37,2026-06-22,2026-07-23,Open
PO-00023,1,MAT-00076,SUP-045,PLT-IN-03,500,200,5.11,2026-06-24,2026-07-10,Partially Received
PO-00024,1,MAT-00081,SUP-068,PLT-DE-02,10,10,40.42,2026-07-02,2026-07-22,Open
PO-00025,1,MAT-00100,SUP-077,PLT-US-01,750,750,7.29,2026-06-22,2026-07-12,Open
PO-00026,1,MAT-00107,SUP-020,PLT-US-01,1,0,29.42,2026-06-29,2026-07-06,Late
PO-00027,1,MAT-00119,SUP-080,PLT-IN-03,50,27,17.97,2026-06-21,2026-07-07,Partially Received
PO-00028,1,MAT-00122,SUP-092,PLT-IN-03,3,1,24.97,2026-06-18,2026-07-22,Partially Received
PO-00029,1,MAT-00123,SUP-028,PLT-US-01,75,75,18.39,2026-06-23,2026-08-04,Open
PO-00030,1,MAT-00124,SUP-032,PLT-DE-02,30,30,66.88,2026-07-08,2026-07-24,Open
PO-00031,1,MAT-00125,SUP-027,PLT-IN-03,10,10,39.73,2026-06-28,2026-07-14,Late
PO-00032,1,MAT-00126,SUP-024,PLT-DE-02,20,20,2.11,2026-07-04,2026-07-29,Open
PO-00033,1,MAT-00129,SUP-098,PLT-US-01,25,25,6.42,2026-06-27,2026-07-12,Open
PO-00034,1,MAT-00137,SUP-072,PLT-IN-03,500,500,16.26,2026-06-27,2026-09-10,Open
PO-00035,1,MAT-00144,SUP-003,PLT-IN-03,250,166,5.26,2026-06-19,2026-06-27,Partially Received
PO-00036,1,MAT-00145,SUP-004,PLT-DE-02,20,9,16.5,2026-07-11,2026-08-08,Partially Received
PO-00037,1,MAT-00148,SUP-099,PLT-US-01,1000,1000,31.46,2026-07-06,2026-07-14,Open
PO-00038,1,MAT-00152,SUP-080,PLT-US-01,100,100,1.63,2026-07-04,2026-07-21,Open
PO-00039,1,MAT-00156,SUP-024,PLT-DE-02,2,0,1.16,2026-06-22,2026-07-21,Partially Received
PO-00040,1,MAT-00169,SUP-020,PLT-IN-03,250,250,103.16,2026-07-09,2026-08-15,Open
PO-00041,1,MAT-00180,SUP-078,PLT-DE-02,500,259,61.48,2026-06-27,2026-07-13,Partially Received
PO-00042,1,MAT-00187,SUP-042,PLT-DE-02,500,500,6.48,2026-06-26,2026-07-03,Open
PO-00043,1,MAT-00192,SUP-046,PLT-DE-02,150,66,5.52,2026-07-03,2026-08-23,Partially Received
PO-00044,1,MAT-00194,SUP-062,PLT-IN-03,50,34,4.7,2026-06-29,2026-07-14,Late
PO-00045,1,MAT-00200,SUP-068,PLT-US-01,750,750,16.49,2026-07-05,2026-07-31,Open
PO-00046,1,MAT-00204,SUP-065,PLT-IN-03,500,500,57.37,2026-06-28,2026-07-11,Late
PO-00047,1,MAT-00205,SUP-075,PLT-US-01,200,200,4.54,2026-06-24,2026-07-07,Open
PO-00048,1,MAT-00207,SUP-057,PLT-DE-02,150,150,38.72,2026-06-19,2026-07-11,Open
PO-00049,1,MAT-00209,SUP-052,PLT-US-01,100,24,6.87,2026-07-03,2026-08-24,Partially Received
PO-00050,1,MAT-00214,SUP-072,PLT-US-01,250,250,38.6,2026-06-24,2026-08-03,Open
PO-00051,1,MAT-00220,SUP-088,PLT-US-01,200,124,1.6,2026-07-04,2026-07-13,Partially Received
PO-00052,1,MAT-00222,SUP-016,PLT-DE-02,300,300,25.91,2026-06-25,2026-07-15,Late
PO-00053,1,MAT-00225,SUP-097,PLT-IN-03,3,3,5.39,2026-07-06,2026-09-13,Open
PO-00054,1,MAT-00233,SUP-067,PLT-US-01,1,1,18.26,2026-07-10,2026-07-26,Open
PO-00055,1,MAT-00256,SUP-017,PLT-DE-02,150,150,4.98,2026-06-25,2026-07-26,Open
PO-00056,1,MAT-00268,SUP-011,PLT-US-01,750,750,49.16,2026-06-19,2026-08-03,Open
PO-00057,1,MAT-00269,SUP-087,PLT-US-01,200,83,9.09,2026-07-11,2026-08-17,Partially Received
PO-00058,1,MAT-00273,SUP-048,PLT-US-01,300,92,24.73,2026-06-19,2026-07-01,Partially Received
PO-00059,1,MAT-00274,SUP-073,PLT-IN-03,100,23,11.56,2026-07-08,2026-07-21,Partially Received
PO-00060,1,MAT-00276,SUP-045,PLT-US-01,1,1,1.19,2026-07-02,2026-07-23,Open
PO-00061,1,MAT-00277,SUP-062,PLT-DE-02,750,455,7.51,2026-07-06,2026-08-03,Partially Received
PO-00062,1,MAT-00278,SUP-027,PLT-DE-02,200,200,4.24,2026-07-01,2026-07-20,Open
PO-00063,1,MAT-00289,SUP-033,PLT-IN-03,100,100,46.19,2026-07-08,2026-07-20,Open
PO-00064,1,MAT-00292,SUP-012,PLT-US-01,500,500,13.15,2026-07-03,2026-07-19,Open
PO-00065,1,MAT-00297,SUP-095,PLT-US-01,10,3,16.87,2026-07-04,2026-07-13,Partially Received
PO-00066,1,MAT-00298,SUP-011,PLT-DE-02,1000,1000,2.03,2026-06-30,2026-07-07,Late
PO-00067,1,MAT-00300,SUP-038,PLT-DE-02,50,50,14.79,2026-06-17,2026-07-12,Late
PO-00068,1,MAT-00303,SUP-036,PLT-US-01,3,3,10.02,2026-06-19,2026-06-29,Open
PO-00069,1,MAT-00306,SUP-028,PLT-US-01,1000,513,6.1,2026-06-30,2026-08-18,Partially Received
PO-00070,1,MAT-00308,SUP-053,PLT-IN-03,150,150,15.23,2026-07-08,2026-07-23,Open
PO-00071,1,MAT-00310,SUP-006,PLT-US-01,150,150,1.76,2026-07-04,2026-07-24,Open
PO-00072,1,MAT-00323,SUP-023,PLT-IN-03,50,50,10.17,2026-06-19,2026-07-12,Open
PO-00073,1,MAT-00324,SUP-034,PLT-DE-02,10,10,12.37,2026-06-24,2026-07-05,Open
PO-00074,1,MAT-00329,SUP-032,PLT-IN-03,500,266,92.57,2026-07-06,2026-07-27,Partially Received
PO-00075,1,MAT-00335,SUP-021,PLT-DE-02,25,25,4.61,2026-06-28,2026-07-11,Open
PO-00076,1,MAT-00340,SUP-086,PLT-US-01,2,2,2.31,2026-06-17,2026-06-24,Late
PO-00077,1,MAT-00341,SUP-048,PLT-IN-03,3,3,1.49,2026-06-26,2026-08-13,Open
PO-00078,1,MAT-00344,SUP-008,PLT-IN-03,150,150,19.48,2026-07-05,2026-07-13,Open
PO-00079,1,MAT-00346,SUP-006,PLT-IN-03,500,500,12.63,2026-06-21,2026-06-26,Open
PO-00080,1,MAT-00355,SUP-016,PLT-IN-03,500,500,2.38,2026-07-13,2026-07-24,Open
PO-00081,1,MAT-00358,SUP-045,PLT-DE-02,50,50,3.32,2026-06-26,2026-07-13,Open
PO-00082,1,MAT-00366,SUP-019,PLT-DE-02,2,0,131.78,2026-07-08,2026-08-11,Partially Received
PO-00083,1,MAT-00367,SUP-038,PLT-US-01,30,30,4.89,2026-06-19,2026-07-08,Late
PO-00084,1,MAT-00369,SUP-060,PLT-DE-02,1,1,22.46,2026-06-20,2026-07-03,Open
PO-00085,1,MAT-00372,SUP-015,PLT-DE-02,1000,1000,34.13,2026-06-21,2026-08-05,Open
PO-00086,1,MAT-00380,SUP-078,PLT-IN-03,25,25,19.36,2026-06-22,2026-07-25,Open
PO-00087,1,MAT-00383,SUP-082,PLT-US-01,3,3,23.3,2026-06-17,2026-08-26,Open
PO-00088,1,MAT-00393,SUP-034,PLT-DE-02,20,20,18.23,2026-06-20,2026-07-07,Late
PO-00089,1,MAT-00398,SUP-089,PLT-DE-02,50,50,6.05,2026-06-20,2026-07-08,Open
PO-00090,1,MAT-00400,SUP-043,PLT-DE-02,250,250,23.8,2026-06-25,2026-07-26,Open
PO-00091,1,MAT-00404,SUP-065,PLT-IN-03,300,190,13.06,2026-06-30,2026-07-21,Partially Received
PO-00092,1,MAT-00406,SUP-019,PLT-IN-03,20,13,16.2,2026-06-27,2026-07-11,Partially Received
PO-00093,1,MAT-00414,SUP-098,PLT-IN-03,1,0,11.6,2026-07-09,2026-07-25,Partially Received
PO-00094,1,MAT-00425,SUP-057,PLT-DE-02,500,263,4.62,2026-07-04,2026-08-04,Partially Received
PO-00095,1,MAT-00429,SUP-011,PLT-DE-02,75,17,10.76,2026-07-04,2026-08-07,Partially Received
PO-00096,1,MAT-00432,SUP-090,PLT-DE-02,150,150,5.53,2026-06-18,2026-08-18,Open
PO-00097,1,MAT-00448,SUP-019,PLT-IN-03,250,72,27.03,2026-07-06,2026-09-28,Partially Received
PO-00098,1,MAT-00465,SUP-063,PLT-IN-03,1000,1000,1.72,2026-06-18,2026-07-03,Open
PO-00099,1,MAT-00466,SUP-058,PLT-US-01,750,750,8.27,2026-06-27,2026-07-12,Open
PO-00100,1,MAT-00469,SUP-064,PLT-IN-03,300,300,44.95,2026-07-10,2026-08-08,Open
PO-00101,1,MAT-00476,SUP-082,PLT-DE-02,500,500,34.55,2026-07-05,2026-07-21,Open
PO-00102,1,MAT-00477,SUP-020,PLT-US-01,300,300,4.28,2026-06-25,2026-07-20,Open
